Unnamed: 0,Period,Province,Quantity,Year,Month,Season,BigCity,Region,DolarS,Kid,Ratio,Interest,CPI(Year),CPI(Month),SalePrice
0,201701,ADANA,4851,2017,1,winter,1,ME,3.7536,190594,86,6,922,246,2.379
1,201701,ADIYAMAN,48,2017,1,winter,0,SE,3.7536,62631,1018,0,922,246,2.379
2,201701,AFYON,1719,2017,1,winter,0,AE,3.7536,52997,74,0,922,246,2.379
3,201701,AKSARAY,1107,2017,1,winter,0,CE,3.7536,33598,835,0,922,246,2.379
4,201701,AMASYA,537,2017,1,winter,0,BS,3.7536,19738,598,0,922,246,2.379
5,201701,ANKARA,6390,2017,1,winter,1,CE,3.7536,386902,711,22,922,246,2.379
6,201701,ANTALYA,5757,2017,1,winter,1,ME,3.7536,174812,739,0,922,246,2.379
7,201701,ARDAHAN,22,2017,1,winter,0,EA,3.7536,6931,714,0,922,246,2.379
8,201701,ARTVİN,15,2017,1,winter,0,BS,3.7536,9472,57,0,922,246,2.379
9,201701,AYDIN,3375,2017,1,winter,1,AE,3.7536,69367,642,0,922,246,2.379
10,201701,AĞRI,1209,2017,1,winter,0,EA,3.7536,68997,1287,0,922,246,2.379
11,201701,BALIKESİR,6827,2017,1,winter,1,MA,3.7536,66540,552,47,922,246,2.379
12,201701,BARTIN,715,2017,1,winter,0,BS,3.7536,10425,539,0,922,246,2.379
13,201701,BATMAN,202,2017,1,winter,0,SE,3.7536,70143,1199,0,922,246,2.379
14,201701,BAYBURT,88,2017,1,winter,0,BS,3.7536,5618,699,0,922,246,2.379
15,201701,BOLU,1673,2017,1,winter,0,BS,3.7536,17749,585,0,922,246,2.379
16,201701,BURDUR,524,2017,1,winter,0,ME,3.7536,14799,559,0,922,246,2.379
17,201701,BURSA,4863,2017,1,winter,1,MA,3.7536,217846,742,13,922,246,2.379
18,201701,BİLECİK,502,2017,1,winter,0,MA,3.7536,13784,622,0,922,246,2.379
19,201701,DENİZLİ,1848,2017,1,winter,1,AE,3.7536,68666,674,0,922,246,2.379
20,201701,DÜZCE,215,2017,1,winter,0,BS,3.7536,26556,703,0,922,246,2.379
21,201701,DİYARBAKIR,790,2017,1,winter,1,SE,3.7536,207199,1219,28,922,246,2.379
22,201701,EDİRNE,988,2017,1,winter,0,MA,3.7536,20461,503,61,922,246,2.379
23,201701,ELAZIĞ,2377,2017,1,winter,0,EA,3.7536,43776,75,51,922,246,2.379
24,201701,ERZURUM,2860,2017,1,winter,1,EA,3.7536,68865,906,0,922,246,2.379
25,201701,ERZİNCAN,18,2017,1,winter,0,EA,3.7536,15698,678,0,922,246,2.379
26,201701,ESKİŞEHİR,2974,2017,1,winter,1,CE,3.7536,51910,603,67,922,246,2.379
27,201701,GAZİANTEP,1726,2017,1,winter,1,SE,3.7536,233308,1163,10,922,246,2.379
28,201701,GÜMÜŞHANE,30,2017,1,winter,0,BS,3.7536,10504,617,0,922,246,2.379
29,201701,GİRESUN,135,2017,1,winter,0,BS,3.7536,23179,53,0,922,246,2.379
30,201701,HAKKARİ,33,2017,1,winter,0,EA,3.7536,27241,988,0,922,246,2.379
31,201701,HATAY,2750,2017,1,winter,1,ME,3.7536,151636,963,0,922,246,2.379
32,201701,ISPARTA,589,2017,1,winter,0,ME,3.7536,26192,604,50,922,246,2.379
33,201701,IĞDIR,727,2017,1,winter,0,EA,3.7536,21022,1079,0,922,246,2.379
34,201701,KAHRAMANMARAŞ,632,2017,1,winter,1,ME,3.7536,107845,956,0,922,246,2.379
35,201701,KARABÜK,1750,2017,1,winter,0,BS,3.7536,12706,52,0,922,246,2.379
36,201701,KARAMAN,517,2017,1,winter,0,CE,3.7536,18668,757,0,922,246,2.379
37,201701,KARS,54,2017,1,winter,0,EA,3.7536,26904,935,0,922,246,2.379
38,201701,KASTAMONU,397,2017,1,winter,0,BS,3.7536,19634,527,0,922,246,2.379
39,201701,KAYSERİ,2807,2017,1,winter,1,CE,3.7536,111829,812,0,922,246,2.379
40,201701,KIRIKKALE,33,2017,1,winter,0,CE,3.7536,17154,615,0,922,246,2.379
41,201701,KIRKLARELİ,347,2017,1,winter,0,MA,3.7536,18525,52,76,922,246,2.379
42,201701,KIRŞEHİR,485,2017,1,winter,0,CE,3.7536,15433,658,0,922,246,2.379
43,201701,KOCAELİ,2695,2017,1,winter,1,MA,3.7536,155543,826,100,922,246,2.379
44,201701,KONYA,4373,2017,1,winter,1,CE,3.7536,177584,815,0,922,246,2.379
45,201701,KÜTAHYA,629,2017,1,winter,0,AE,3.7536,33714,589,0,922,246,2.379
46,201701,KİLİS,1406,2017,1,winter,0,SE,3.7536,13812,1013,0,922,246,2.379
47,201701,MALATYA,967,2017,1,winter,1,EA,3.7536,59694,759,0,922,246,2.379
48,201701,MANİSA,8432,2017,1,winter,1,AE,3.7536,97081,687,21,922,246,2.379
49,201701,MUĞLA,1439,2017,1,winter,1,AE,3.7536,57227,61,54,922,246,2.379
50,201701,MUŞ,27,2017,1,winter,0,EA,3.7536,49481,1223,0,922,246,2.379
51,201701,NEVŞEHİR,171,2017,1,winter,0,CE,3.7536,20481,701,0,922,246,2.379
52,201701,NİĞDE,573,2017,1,winter,0,CE,3.7536,27856,79,99,922,246,2.379
53,201701,ORDU,1688,2017,1,winter,1,BS,3.7536,45828,617,0,922,246,2.379
54,201701,OSMANİYE,1287,2017,1,winter,0,ME,3.7536,46384,879,0,922,246,2.379
55,201701,RİZE,77,2017,1,winter,0,BS,3.7536,20567,621,0,922,246,2.379
56,201701,SAKARYA,1405,2017,1,winter,1,MA,3.7536,72680,734,0,922,246,2.379
57,201701,SAMSUN,2177,2017,1,winter,1,BS,3.7536,86870,662,16,922,246,2.379
58,201701,SİNOP,105,2017,1,winter,0,BS,3.7536,11383,549,0,922,246,2.379
59,201701,SİVAS,2071,2017,1,winter,0,CE,3.7536,43586,702,0,922,246,2.379
60,201701,SİİRT,6,2017,1,winter,0,SE,3.7536,39219,1209,0,922,246,2.379
61,201701,TEKİRDAĞ,1392,2017,1,winter,1,MA,3.7536,75359,749,27,922,246,2.379
62,201701,TOKAT,503,2017,1,winter,0,BS,3.7536,37598,624,0,922,246,2.379
63,201701,TRABZON,1703,2017,1,winter,1,BS,3.7536,51510,655,67,922,246,2.379
64,201701,UŞAK,389,2017,1,winter,0,AE,3.7536,23072,632,0,922,246,2.379
65,201701,VAN,317,2017,1,winter,1,EA,3.7536,135976,1228,0,922,246,2.379
66,201701,YALOVA,122,2017,1,winter,0,MA,3.7536,16860,671,0,922,246,2.379
67,201701,YOZGAT,769,2017,1,winter,0,CE,3.7536,27932,667,0,922,246,2.379
68,201701,ZONGULDAK,1907,2017,1,winter,0,BS,3.7536,32828,55,0,922,246,2.379
69,201701,ÇANKIRI,246,2017,1,winter,0,CE,3.7536,11154,599,0,922,246,2.379
70,201701,ÇORUM,125,2017,1,winter,0,BS,3.7536,33922,642,0,922,246,2.379
71,201701,İSTANBUL,10878,2017,1,winter,1,MA,3.7536,1160092,772,48,922,246,2.379
72,201701,İZMİR,9495,2017,1,winter,1,AE,3.7536,275664,644,41,922,246,2.379
73,201701,ŞANLIURFA,661,2017,1,winter,1,SE,3.7536,297423,1498,25,922,246,2.379
74,201701,ŞIRNAK,393,2017,1,winter,0,SE,3.7536,65703,1306,0,922,246,2.379
75,201702,ADANA,5288,2017,2,winter,1,ME,0.0367,190594,86,5,1013,81,2.445
76,201702,ADIYAMAN,42,2017,2,winter,0,SE,0.0367,62631,1018,0,1013,81,2.445
77,201702,AFYON,1977,2017,2,winter,0,AE,0.0367,52997,74,20,1013,81,2.445
78,201702,AKSARAY,1692,2017,2,winter,0,CE,0.0367,33598,835,0,1013,81,2.445
79,201702,AMASYA,406,2017,2,winter,0,BS,0.0367,19738,598,0,1013,81,2.445
80,201702,ANKARA,6362,2017,2,winter,1,CE,0.0367,386902,711,7,1013,81,2.445
81,201702,ANTALYA,5892,2017,2,winter,1,ME,0.0367,174812,739,0,1013,81,2.445
82,201702,ARDAHAN,4,2017,2,winter,0,EA,0.0367,6931,714,0,1013,81,2.445
83,201702,ARTVİN,27,2017,2,winter,0,BS,0.0367,9472,57,0,1013,81,2.445
84,201702,AYDIN,3967,2017,2,winter,1,AE,0.0367,69367,642,0,1013,81,2.445
85,201702,AĞRI,1243,2017,2,winter,0,EA,0.0367,68997,1287,0,1013,81,2.445
86,201702,BALIKESİR,5212,2017,2,winter,1,MA,0.0367,66540,552,10,1013,81,2.445
87,201702,BARTIN,802,2017,2,winter,0,BS,0.0367,10425,539,0,1013,81,2.445
88,201702,BATMAN,189,2017,2,winter,0,SE,0.0367,70143,1199,0,1013,81,2.445
89,201702,BAYBURT,59,2017,2,winter,0,BS,0.0367,5618,699,0,1013,81,2.445
90,201702,BOLU,1227,2017,2,winter,0,BS,0.0367,17749,585,0,1013,81,2.445
91,201702,BURDUR,694,2017,2,winter,0,ME,0.0367,14799,559,0,1013,81,2.445
92,201702,BURSA,5576,2017,2,winter,1,MA,0.0367,217846,742,8,1013,81,2.445
93,201702,BİLECİK,578,2017,2,winter,0,MA,0.0367,13784,622,100,1013,81,2.445
94,201702,DENİZLİ,1752,2017,2,winter,1,AE,0.0367,68666,674,10,1013,81,2.445
95,201702,DÜZCE,133,2017,2,winter,0,BS,0.0367,26556,703,0,1013,81,2.445
96,201702,DİYARBAKIR,658,2017,2,winter,1,SE,0.0367,207199,1219,0,1013,81,2.445
97,201702,EDİRNE,1217,2017,2,winter,0,MA,0.0367,20461,503,0,1013,81,2.445
98,201702,ELAZIĞ,2220,2017,2,winter,0,EA,0.0367,43776,75,0,1013,81,2.445
99,201702,ERZURUM,1257,2017,2,winter,1,EA,0.0367,68865,906,14,1013,81,2.445
100,201702,ERZİNCAN,5,2017,2,winter,0,EA,0.0367,15698,678,0,1013,81,2.445
101,201702,ESKİŞEHİR,3469,2017,2,winter,1,CE,0.0367,51910,603,37,1013,81,2.445
102,201702,GAZİANTEP,2884,2017,2,winter,1,SE,0.0367,233308,1163,4,1013,81,2.445
103,201702,GÜMÜŞHANE,17,2017,2,winter,0,BS,0.0367,10504,617,0,1013,81,2.445
104,201702,GİRESUN,145,2017,2,winter,0,BS,0.0367,23179,53,0,1013,81,2.445
105,201702,HAKKARİ,53,2017,2,winter,0,EA,0.0367,27241,988,0,1013,81,2.445
106,201702,HATAY,2143,2017,2,winter,1,ME,0.0367,151636,963,0,1013,81,2.445
107,201702,ISPARTA,531,2017,2,winter,0,ME,0.0367,26192,604,0,1013,81,2.445
108,201702,IĞDIR,617,2017,2,winter,0,EA,0.0367,21022,1079,0,1013,81,2.445
109,201702,KAHRAMANMARAŞ,317,2017,2,winter,1,ME,0.0367,107845,956,0,1013,81,2.445
110,201702,KARABÜK,3604,2017,2,winter,0,BS,0.0367,12706,52,0,1013,81,2.445
111,201702,KARAMAN,592,2017,2,winter,0,CE,0.0367,18668,757,0,1013,81,2.445
112,201702,KARS,40,2017,2,winter,0,EA,0.0367,26904,935,0,1013,81,2.445
113,201702,KASTAMONU,463,2017,2,winter,0,BS,0.0367,19634,527,0,1013,81,2.445
114,201702,KAYSERİ,2083,2017,2,winter,1,CE,0.0367,111829,812,0,1013,81,2.445
115,201702,KIRIKKALE,40,2017,2,winter,0,CE,0.0367,17154,615,33,1013,81,2.445
116,201702,KIRKLARELİ,339,2017,2,winter,0,MA,0.0367,18525,52,0,1013,81,2.445
117,201702,KIRŞEHİR,403,2017,2,winter,0,CE,0.0367,15433,658,0,1013,81,2.445
118,201702,KOCAELİ,2729,2017,2,winter,1,MA,0.0367,155543,826,15,1013,81,2.445
119,201702,KONYA,6138,2017,2,winter,1,CE,0.0367,177584,815,10,1013,81,2.445
120,201702,KÜTAHYA,1552,2017,2,winter,0,AE,0.0367,33714,589,0,1013,81,2.445
